Employee ID,Name,Phone Number,Department,Date of Birth,Age
10001,Karthik Latha,9000010001,CORPORATE,1978-07-16,47
10002,Divya Rani,9000010002,CORPORATE,1986-12-25,39
10003,Rahul Goud,9000010003,CORPORATE,1991-09-06,34
10004,Kiran Chary,9000010004,CORPORATE,1975-07-31,50
10005,Anil Rani,9000010005,CORPORATE,1959-03-10,67
10006,Vijay Singh,9000010006,CORPORATE,1995-05-11,31
10007,Jyothi Reddy,9000010007,CORPORATE,1989-03-26,37
10008,Sunita Chary,9000010008,CORPORATE,1962-02-08,64
10009,Siddharth Varma,9000010009,CORPORATE,1980-01-15,46
10010,Manoj Kumar,9000010010,CORPORATE,1981-02-06,45
10011,Venkat Lal,9000010011,CORPORATE,1987-01-04,39
10012,Rahul Babu,9000010012,CORPORATE,1973-06-24,52
10013,Kalyan Latha,9000010013,CORPORATE,1984-10-31,41
10014,Mohan Pillai,9000010014,CORPORATE,2000-11-11,25
10015,Ravi Shah,9000010015,CORPORATE,1990-11-20,35
10016,Vikram Rao,9000010016,CORPORATE,2000-09-21,25
10017,Kavitha Iyengar,9000010017,CORPORATE,1968-02-25,58
10018,Jyothi Tiwari,9000010018,CORPORATE,1987-01-10,39
10019,Shilpa Mehta,9000010019,CORPORATE,1976-08-11,49
10020,Aravind Sarma,9000010020,CORPORATE,1978-03-21,48
10021,Manoj Menon,9000010021,CORPORATE,1967-03-02,59
10022,Venkat Rao,9000010022,CORPORATE,1968-03-11,58
10023,Naveen Rao,9000010023,CORPORATE,1997-03-06,29
10024,Jyothi Reddy,9000010024,CORPORATE,1974-04-06,52
10025,Mohan Iyengar,9000010025,CORPORATE,1969-08-12,56
10026,Deepika Latha,9000010026,CORPORATE,1989-12-10,36
10027,Arun Patil,9000010027,CORPORATE,1996-01-19,30
10028,Anitha Chary,9000010028,CORPORATE,1989-09-27,36
10029,Prakash Mehta,9000010029,CORPORATE,1996-04-11,30
10030,Uma Mehta,9000010030,CORPORATE,1969-07-01,56
10031,Aditya Varma,9000010031,MILAN,1999-05-13,27
10032,Mahesh Ram,9000010032,MILAN,1973-09-15,52
10033,Kavitha Murthy,9000010033,MILAN,1968-09-08,57
10034,Snehal Pillai,9000010034,MILAN,1971-09-09,54
10035,Priya Gupta,9000010035,MILAN,1973-12-07,52
10036,Rahul Gupta,9000010036,MILAN,1957-05-01,69
10037,Venkat Iyengar,9000010037,MILAN,1960-07-19,65
10038,Divya Bharathi,9000010038,MILAN,1950-10-17,75
